Title,Year,Age,Platform,Occurrence,Rating type,Score
The Break with Michelle Wolf,2018,18+,Netflix,1,Rotten Tomatoes,46
Beat Bugs,2016,all,Netflix,1,Rotten Tomatoes,46
Transformers: Cyberverse,2018,7+,Netflix,1,Rotten Tomatoes,46
Grizzy & the Lemmings,2016,all,Netflix,1,Rotten Tomatoes,46
The Garfield Show,2009,all,Netflix,1,Rotten Tomatoes,46
Abby Hatcher,2018,all,Netflix,1,Rotten Tomatoes,46
"Schulz Saves America: Pandemics, Predators, Protests & Presidents",2020,18+,Netflix,1,Rotten Tomatoes,46
Dawn of the Croods,2015,7+,Netflix,1,Rotten Tomatoes,46
Power Rangers Beast Morphers,2019,7+,Netflix,1,Rotten Tomatoes,45
The Big Family Cooking Showdown,2017,7+,Netflix,1,Rotten Tomatoes,45
Awake: The Million Dollar Game,2019,7+,Netflix,1,Rotten Tomatoes,45
Cheer Squad,2016,7+,Netflix,1,Rotten Tomatoes,45
The Way of the Househusband,2021,16+,Netflix,1,Rotten Tomatoes,45
Skylanders Academy,2016,7+,Netflix,1,Rotten Tomatoes,45
The Fix,2018,18+,Netflix,1,Rotten Tomatoes,45
Astronomy Club: The Sketch Show,2019,18+,Netflix,1,Rotten Tomatoes,45
Prince of Peoria,2018,all,Netflix,1,Rotten Tomatoes,45
Numberblocks,2017,all,Netflix,1,Rotten Tomatoes,45
Polly Pocket,2018,7+,Netflix,1,Rotten Tomatoes,45
All About the Washingtons,2018,all,Netflix,1,Rotten Tomatoes,45
Archibald's Next Big Thing,2019,7+,Netflix,1,Rotten Tomatoes,45
All Hail King Julien: Exiled,2017,7+,Netflix,1,Rotten Tomatoes,45
Dragons: Rescue Riders,2019,7+,Netflix,1,Rotten Tomatoes,45
21 Thunder,2017,18+,Netflix,1,Rotten Tomatoes,45
Smoking,2018,18+,Netflix,1,Rotten Tomatoes,45
My Only Love Song,2017,18+,Netflix,1,Rotten Tomatoes,45
45 RPM,2019,16+,Netflix,1,Rotten Tomatoes,45
Amazing Interiors,2018,all,Netflix,1,Rotten Tomatoes,45
72 Dangerous Animals: Asia,2018,16+,Netflix,1,Rotten Tomatoes,45
Mia and Me,2012,all,Netflix,1,Rotten Tomatoes,45
Tong: Memories,2016,7+,Netflix,1,Rotten Tomatoes,45
Transformers: Robots In Disguise,2015,all,Netflix,1,Rotten Tomatoes,45
Deaf U,2020,18+,Netflix,1,Rotten Tomatoes,45
Brotherhood,2019,16+,Netflix,1,Rotten Tomatoes,45
Lost Song,2018,16+,Netflix,1,Rotten Tomatoes,45
Izzy's Koala World,2020,all,Netflix,1,Rotten Tomatoes,45
True and the Rainbow Kingdom,2017,all,Netflix,1,Rotten Tomatoes,45
Power Rangers Ninja Steel,2017,7+,Netflix,1,Rotten Tomatoes,45
LEGO Jurassic World: Legend of Isla Nublar,2019,all,Netflix,1,Rotten Tomatoes,45
Silvana Sin Lana,2016,16+,Netflix,1,Rotten Tomatoes,45
Buddy Thunderstruck,2017,7+,Netflix,1,Rotten Tomatoes,45
Inside the Criminal Mind,2018,18+,Netflix,1,Rotten Tomatoes,45
Late Night Restaurant,2015,16+,Netflix,1,Rotten Tomatoes,45
Holiday Secrets,2019,16+,Netflix,1,Rotten Tomatoes,44
Historical Roasts,2019,18+,Netflix,1,Rotten Tomatoes,44
Twelve Forever,2019,7+,Netflix,1,Rotten Tomatoes,44
Age of Tanks,2019,18+,Netflix,1,Rotten Tomatoes,44
Best Leftovers Ever!,2020,all,Netflix,1,Rotten Tomatoes,44
Rhyme Time Town,2020,all,Netflix,1,Rotten Tomatoes,44
Go Dog Go,2021,all,Netflix,1,Rotten Tomatoes,44
Samantha!,2018,7+,Netflix,1,Rotten Tomatoes,44
Mighty Little Bheem,2019,all,Netflix,1,Rotten Tomatoes,44
Horrid Henry,2006,7+,Netflix,1,Rotten Tomatoes,44
The Ollie & Moon Show,2017,all,Netflix,1,Rotten Tomatoes,44
Dinotrux,2015,7+,Netflix,1,Rotten Tomatoes,44
Some Assembly Required,2014,all,Netflix,1,Rotten Tomatoes,44
Beyblade Burst Rise,2020,7+,Netflix,1,Rotten Tomatoes,44
Keeping Up with the Joneses,2010,7+,Netflix,1,Rotten Tomatoes,44
Rainbow Rangers,2018,all,Netflix,1,Rotten Tomatoes,44
Dollar,2019,18+,Netflix,1,Rotten Tomatoes,44
First and Last,2018,18+,Netflix,1,Rotten Tomatoes,44
Hjørdis,2015,all,Netflix,1,Rotten Tomatoes,44
Buried by the Bernards,2021,16+,Netflix,1,Rotten Tomatoes,44
Kevin Hart: Don't F**k This Up,2019,18+,Netflix,1,Rotten Tomatoes,44
LEGO City Adventures,2019,7+,Netflix,1,Rotten Tomatoes,44
Nature's Weirdest Events,2012,all,Netflix,1,Rotten Tomatoes,44
Dragon Pilot: Hisone and Masotan,2018,16+,Netflix,1,Rotten Tomatoes,44
Talking Tom and Friends,2014,7+,Netflix,1,Rotten Tomatoes,44
Coach Snoop,2016,all,Netflix,1,Rotten Tomatoes,44
Hero Mask,2018,16+,Netflix,1,Rotten Tomatoes,44
Emily's Wonder Lab,2020,all,Netflix,1,Rotten Tomatoes,44
The Ghost Bride,2020,18+,Netflix,1,Rotten Tomatoes,44
Chief of Staff,2019,16+,Netflix,1,Rotten Tomatoes,44
Three Days of Christmas,2019,18+,Netflix,1,Rotten Tomatoes,44
Homemade,2020,16+,Netflix,1,Rotten Tomatoes,44
Ingress: The Animation,2018,all,Netflix,1,Rotten Tomatoes,44
Exhibit A,2019,18+,Netflix,1,Rotten Tomatoes,44
Apache: La vida de Carlos Tevez,2019,18+,Netflix,1,Rotten Tomatoes,44
Home: Adventures with Tip & Oh,2016,7+,Netflix,1,Rotten Tomatoes,43
Hotel Transylvania,2017,7+,Netflix,1,Rotten Tomatoes,43
The Garden of Heaven,2011,16+,Netflix,1,Rotten Tomatoes,43
Barbie Dreamhouse Adventures,2018,all,Netflix,1,Rotten Tomatoes,43
Hidden Worlds,2018,all,Netflix,1,Rotten Tomatoes,43
A Boy Named Flora A,2017,18+,Netflix,1,Rotten Tomatoes,43
The Idhun Chronicles,2020,16+,Netflix,1,Rotten Tomatoes,43
44 Cats,2018,7+,Netflix,1,Rotten Tomatoes,43
72 Dangerous Places to Live,2016,18+,Netflix,1,Rotten Tomatoes,43
Turbo FAST,2013,7+,Netflix,1,Rotten Tomatoes,43
Legend Quest,2017,7+,Netflix,1,Rotten Tomatoes,43
Dinosaur King,2007,7+,Netflix,1,Rotten Tomatoes,43
Once Upon a Time in Lingjian Mountain,2019,all,Netflix,1,Rotten Tomatoes,43
Take My Brother Away,2018,all,Netflix,1,Rotten Tomatoes,43
The Rap Game,2016,7+,Netflix,1,Rotten Tomatoes,43
Basketball or Nothing,2019,7+,Netflix,1,Rotten Tomatoes,43
Go! Go! Cory Carson,2020,all,Netflix,1,Rotten Tomatoes,43
Super Monsters,2017,all,Netflix,1,Rotten Tomatoes,43
How to Ruin Christmas: The Wedding,2020,18+,Netflix,1,Rotten Tomatoes,43
ReBoot: The Guardian Code,2018,7+,Netflix,1,Rotten Tomatoes,43
Hoff the Record,2015,16+,Netflix,1,Rotten Tomatoes,43
Larry Charles' Dangerous World of Comedy,2019,18+,Netflix,1,Rotten Tomatoes,43
Triad Princess,2019,18+,Netflix,1,Rotten Tomatoes,43
Apaches,2015,18+,Netflix,1,Rotten Tomatoes,43
Followers,2020,18+,Netflix,1,Rotten Tomatoes,42
13 Reasons Why: Beyond the Reasons,2017,18+,Netflix,1,Rotten Tomatoes,42
Cupcake & Dino - General Services,2018,7+,Netflix,1,Rotten Tomatoes,42
Ice Fantasy,2016,16+,Netflix,1,Rotten Tomatoes,42
Revolutionary Love,2017,7+,Netflix,1,Rotten Tomatoes,42
Sunny Bunnies,2015,all,Netflix,1,Rotten Tomatoes,42
Stretch Armstrong & the Flex Fighters,2017,7+,Netflix,1,Rotten Tomatoes,42
Simon,2016,all,Netflix,1,Rotten Tomatoes,42
Zig and Sharko,2010,all,Netflix,1,Rotten Tomatoes,42
The Octonauts,2010,all,Netflix,1,Rotten Tomatoes,42
Westside,2018,16+,Netflix,1,Rotten Tomatoes,42
Alien TV,2020,7+,Netflix,1,Rotten Tomatoes,42
VeggieTales in the City,2017,all,Netflix,1,Rotten Tomatoes,42
Love O2O,2016,16+,Netflix,1,Rotten Tomatoes,42
Upin & Ipin,2007,all,Netflix,1,Rotten Tomatoes,42
Follow This,2018,18+,Netflix,1,Rotten Tomatoes,42
Living Undocumented,2019,18+,Netflix,1,Rotten Tomatoes,42
Fate/Extra Last Encore,2018,18+,Netflix,1,Rotten Tomatoes,42
Alphablocks,2010,all,Netflix,1,Rotten Tomatoes,42
Puerta 7,2020,18+,Netflix,1,Rotten Tomatoes,42
We Speak Dance,2018,7+,Netflix,1,Rotten Tomatoes,42
Racket Boys,2021,16+,Netflix,1,Rotten Tomatoes,42
Heidi,2015,all,Netflix,1,Rotten Tomatoes,42
Centaurworld,2021,7+,Netflix,1,Rotten Tomatoes,42
Magmel of the Sea Blue,2019,7+,Netflix,1,Rotten Tomatoes,41
The Legend of White Snake,2019,all,Netflix,1,Rotten Tomatoes,41
Last Hope,2018,16+,Netflix,1,Rotten Tomatoes,41
Death by Magic,2018,7+,Netflix,1,Rotten Tomatoes,41
Welcome to the Family,2018,16+,Netflix,1,Rotten Tomatoes,41
Motown Magic,2018,all,Netflix,1,Rotten Tomatoes,41
Gormiti,2018,7+,Netflix,1,Rotten Tomatoes,41
Takki,2012,all,Netflix,1,Rotten Tomatoes,41
Angelina Ballerina: The Next Steps,2009,all,Netflix,1,Rotten Tomatoes,41
The Casketeers,2018,16+,Netflix,1,Rotten Tomatoes,41
Spectros,2020,18+,Netflix,1,Rotten Tomatoes,41
My Runway,2016,7+,Netflix,1,Rotten Tomatoes,41
LEGO Marvel Avengers: Climate Conundrum,2020,7+,Netflix,1,Rotten Tomatoes,41
The Haunted House,2016,7+,Netflix,1,Rotten Tomatoes,40
Oddbods (Shorts),2015,7+,Netflix,1,Rotten Tomatoes,40
Cleo & Cuquin,2018,7+,Netflix,1,Rotten Tomatoes,40
Inspector Gadget,2015,all,Netflix,1,Rotten Tomatoes,40
Magic for Humans Spain,2021,18+,Netflix,1,Rotten Tomatoes,40
The Qin Empire,2009,7+,Netflix,1,Rotten Tomatoes,40
The Comedy Lineup,2018,18+,Netflix,1,Rotten Tomatoes,40
Charlie's Colorforms City,2019,all,Netflix,1,Rotten Tomatoes,40
Cloudy with a Chance of Meatballs,2017,all,Netflix,1,Rotten Tomatoes,40
Absurd Planet,2020,7+,Netflix,1,Rotten Tomatoes,40
Mighty Express,2020,all,Netflix,1,Rotten Tomatoes,40
Children of Adam,2020,18+,Netflix,1,Rotten Tomatoes,40
Nowhere Man,2019,18+,Netflix,1,Rotten Tomatoes,40
Club de Cuervos Presents: The Ballad of Hugo Sánchez,2018,18+,Netflix,1,Rotten Tomatoes,40
Mob Psycho 100,2018,all,Netflix,1,Rotten Tomatoes,40
Lego Bionicle: The Journey to One,2016,7+,Netflix,1,Rotten Tomatoes,40
Back Street Girls: Goku Dolls,2018,18+,Netflix,1,Rotten Tomatoes,40
The Iliza Shlesinger Sketch Show,2020,18+,Netflix,1,Rotten Tomatoes,40
Becoming Champions,2018,all,Netflix,1,Rotten Tomatoes,40
Bakugan: Battle Planet,2018,all,Netflix,1,Rotten Tomatoes,40
The Writer,2019,7+,Netflix,1,Rotten Tomatoes,40
Robot Trains,2017,all,Netflix,1,Rotten Tomatoes,40
Pororo the Little Penguin,2003,all,Netflix,1,Rotten Tomatoes,40
H2O - Abenteuer Meerjungfrau,2015,7+,Netflix,1,Rotten Tomatoes,40
The Fierce Wife,2010,16+,Netflix,1,Rotten Tomatoes,40
Eugenie Nights - ليالي أوجيني,2018,16+,Netflix,1,Rotten Tomatoes,40
Tiny Creatures,2020,7+,Netflix,1,Rotten Tomatoes,40
Standup and Away! with Brian Regan,2018,16+,Netflix,1,Rotten Tomatoes,40
Black Crows,2018,18+,Netflix,1,Rotten Tomatoes,40
Yummy Mummies,2017,7+,Netflix,1,Rotten Tomatoes,40
revisions,2019,18+,Netflix,1,Rotten Tomatoes,40
Green Door,2019,18+,Netflix,1,Rotten Tomatoes,40
Million Dollar Beach House,2020,18+,Netflix,1,Rotten Tomatoes,40
I Hear You,2019,all,Netflix,1,Rotten Tomatoes,40
Littlest Pet Shop: A World of Our Own,2018,all,Netflix,1,Rotten Tomatoes,39
Spy Kids: Mission Critical,2018,all,Netflix,1,Rotten Tomatoes,39
Dino Girl Gauko,2019,7+,Netflix,1,Rotten Tomatoes,39
Hasmukh,2020,18+,Netflix,1,Rotten Tomatoes,39
Here to Heart,2018,7+,Netflix,1,Rotten Tomatoes,39
The Good Bandit,2019,18+,Netflix,1,Rotten Tomatoes,39
"Wait, My Youth",2019,all,Netflix,1,Rotten Tomatoes,39
Locombianos,2021,18+,Netflix,1,Rotten Tomatoes,39
Rainbow Ruby,2016,all,Netflix,1,Rotten Tomatoes,39
Justin Time,2011,all,Netflix,1,Rotten Tomatoes,39
Fugitiva,2018,18+,Netflix,1,Rotten Tomatoes,39
Flinch,2019,7+,Netflix,1,Rotten Tomatoes,39
Larva,2011,all,Netflix,1,Rotten Tomatoes,39
StoryBots Super Songs,2016,all,Netflix,1,Rotten Tomatoes,39
VeggieTales In The House,2014,all,Netflix,1,Rotten Tomatoes,39
LEGO Jurassic World: The Secret Exhibit,2018,7+,Netflix,1,Rotten Tomatoes,39
Strong,2016,7+,Netflix,1,Rotten Tomatoes,39
The American Bible Challenge,2012,all,Netflix,1,Rotten Tomatoes,39
GAME ON: A Comedy Crossover Event,2020,all,Netflix,1,Rotten Tomatoes,39
ID-0,2017,16+,Netflix,1,Rotten Tomatoes,39
Tijuana,2019,16+,Netflix,1,Rotten Tomatoes,39
Dinotrux: Supercharged,2017,7+,Netflix,1,Rotten Tomatoes,39
The Jungle Book,2010,all,Netflix,1,Rotten Tomatoes,39
Rhyme Time Town Singalongs,2020,all,Netflix,1,Rotten Tomatoes,39
Transformers: Rescue Bots Academy,2019,all,Netflix,1,Rotten Tomatoes,39
"Noddy, Toyland Detective",2016,all,Netflix,1,Rotten Tomatoes,39
Ricky Zoom,2019,all,Netflix,1,Rotten Tomatoes,39
Edgar Rice Burroughs' Tarzan and Jane,2017,7+,Netflix,1,Rotten Tomatoes,39
Chico Bon Bon: Monkey with a Tool Belt,2020,all,Netflix,1,Rotten Tomatoes,39
Boca Juniors Confidential,2018,all,Netflix,1,Rotten Tomatoes,38
ZOIDS WILD,2018,7+,Netflix,1,Rotten Tomatoes,38
Holiday Home Makeover with Mr. Christmas,2020,all,Netflix,1,Rotten Tomatoes,38
Nailed It! Mexico,2019,all,Netflix,1,Rotten Tomatoes,38
Cabins in the Wild with Dick Strawbridge,2017,7+,Netflix,1,Rotten Tomatoes,38
Best.Worst.Weekend.Ever.,2018,7+,Netflix,1,Rotten Tomatoes,38
Fangbone!,2016,7+,Netflix,1,Rotten Tomatoes,38
Pinky Malinky,2019,7+,Netflix,1,Rotten Tomatoes,38
Extreme Engagement,2019,18+,Netflix,1,Rotten Tomatoes,38
Care Bears and Cousins,2015,all,Netflix,1,Rotten Tomatoes,38
The In-Laws,2003,13+,Netflix,1,Rotten Tomatoes,38
Hong Kong West Side Stories,2019,18+,Netflix,1,Rotten Tomatoes,38
Life Plan A and B,2017,7+,Netflix,1,Rotten Tomatoes,38
Empire Games,2018,7+,Netflix,1,Rotten Tomatoes,38
J-Style Trip,2020,16+,Netflix,1,Rotten Tomatoes,37
Kong: King of the Apes,2016,7+,Netflix,1,Rotten Tomatoes,37
Word Party,2016,all,Netflix,1,Rotten Tomatoes,37
Power Players,2019,7+,Netflix,1,Rotten Tomatoes,37
The Outsiders,2004,16+,Netflix,1,Rotten Tomatoes,37
Nailed It! France,2019,16+,Netflix,1,Rotten Tomatoes,37
Richie Rich,2015,all,Netflix,1,Rotten Tomatoes,37
Justice,2019,7+,Netflix,1,Rotten Tomatoes,37
Bookmarks: Celebrating Black Voices,2020,all,Netflix,1,Rotten Tomatoes,37
Meet the Adebanjos,2012,7+,Netflix,1,Rotten Tomatoes,37
LEGO Friends: The Power of Friendship,2016,7+,Netflix,1,Rotten Tomatoes,36
True Tunes,2019,all,Netflix,1,Rotten Tomatoes,36
Dreamworks Spooky Stories,2012,7+,Netflix,1,Rotten Tomatoes,36
Little Baby Bum: Nursery Rhyme Friends,2016,all,Netflix,1,Rotten Tomatoes,36
28 Faces of the Moon,2016,7+,Netflix,1,Rotten Tomatoes,36
Harvey Street Kids,2018,7+,Netflix,1,Rotten Tomatoes,36
Buddi,2020,all,Netflix,1,Rotten Tomatoes,36
Edha,2018,18+,Netflix,1,Rotten Tomatoes,36
The Degenerates,2018,18+,Netflix,1,Rotten Tomatoes,36
Chasing Cameron,2016,7+,Netflix,1,Rotten Tomatoes,36
Chip and Potato,2018,all,Netflix,1,Rotten Tomatoes,36
YG Future Strategy Office,2018,18+,Netflix,1,Rotten Tomatoes,35
Kid-E-Cats,2017,all,Netflix,1,Rotten Tomatoes,35
Bo on the Go!,2007,all,Netflix,1,Rotten Tomatoes,35
Тобот,2010,7+,Netflix,1,Rotten Tomatoes,35
In The Bosom of a Thorn,2019,16+,Netflix,1,Rotten Tomatoes,35
YooHoo to the Rescue,2019,all,Netflix,1,Rotten Tomatoes,35
Styling Hollywood,2019,16+,Netflix,1,Rotten Tomatoes,35
Trotro,2006,all,Netflix,1,Rotten Tomatoes,35
Masha's Spooky Stories,2014,all,Netflix,1,Rotten Tomatoes,35
The Goop Lab,2020,18+,Netflix,1,Rotten Tomatoes,35
Kulipari: An Army of Frogs,2016,7+,Netflix,1,Rotten Tomatoes,35
Happy Jail,2019,18+,Netflix,1,Rotten Tomatoes,34
Luo Bao Bei,2018,all,Netflix,1,Rotten Tomatoes,34
Lavender,2001,16+,Netflix,1,Rotten Tomatoes,34
KO One,2005,7+,Netflix,1,Rotten Tomatoes,34
Kulipari: Dream Walker,2018,all,Netflix,1,Rotten Tomatoes,34
K.O.3an Guo,2009,16+,Netflix,1,Rotten Tomatoes,34
Morphle,2019,all,Netflix,1,Rotten Tomatoes,34
Hello Ninja,2019,all,Netflix,1,Rotten Tomatoes,34
Llama Llama,2018,all,Netflix,1,Rotten Tomatoes,33
Part-Time Idol,2017,7+,Netflix,1,Rotten Tomatoes,33
The Sound of Your Heart: Reboot,2018,7+,Netflix,1,Rotten Tomatoes,33
Ponysitters Club,2018,all,Netflix,1,Rotten Tomatoes,33
Bottersnikes & Gumbles,2016,7+,Netflix,1,Rotten Tomatoes,32
Shopkins,2014,all,Netflix,1,Rotten Tomatoes,32
Dennis & Gnasher Unleashed!,2017,all,Netflix,1,Rotten Tomatoes,31
Luna Petunia Return to Amazia,2018,all,Netflix,1,Rotten Tomatoes,31
Luna Petunia,2016,all,Netflix,1,Rotten Tomatoes,31
Jimmy: The True Story of a True Idiot,2018,all,Netflix,1,Rotten Tomatoes,31
Jusqu'à l'Aube,2020,18+,Netflix,1,Rotten Tomatoes,31
Droppin' Cash: Los Angeles,2018,16+,Netflix,1,Rotten Tomatoes,30
Robozuna,2018,7+,Netflix,1,Rotten Tomatoes,30
Lucky Days,2010,7+,Netflix,1,Rotten Tomatoes,30
Stunt Science,2018,18+,Netflix,1,Rotten Tomatoes,30
Bangkok Buddies,2019,all,Netflix,1,Rotten Tomatoes,29
The Year of Happiness and Love,2009,7+,Netflix,1,Rotten Tomatoes,29
Kibaoh Klashers,2017,7+,Netflix,1,Rotten Tomatoes,27
Genius,2017,16+,Netflix,1,Rotten Tomatoes,74
Mom,2013,16+,Netflix,1,Rotten Tomatoes,71
The Bridge,2013,18+,Netflix,1,Rotten Tomatoes,69
The Son,2017,16+,Netflix,1,Rotten Tomatoes,67
Paradox,2009,16+,Netflix,1,Rotten Tomatoes,56
Howards End,2017,7+,Netflix,1,Rotten Tomatoes,64
Pandora,2019,7+,Netflix,1,Rotten Tomatoes,52
Hole in the Wall,2008,all,Netflix,1,Rotten Tomatoes,51
Charlie's Angels,2011,16+,Netflix,1,Rotten Tomatoes,44
The Bad Batch,2021,7+,Netflix,1,Rotten Tomatoes,82
The Muppets,2015,7+,Netflix,1,Rotten Tomatoes,64
Pick of the Litter,2019,7+,Netflix,1,Rotten Tomatoes,47
Becoming,2020,16+,Netflix,1,Rotten Tomatoes,38
Attack on Titan,2013,18+,Hulu,1,Rotten Tomatoes,95
Community,2009,7+,Hulu,1,Rotten Tomatoes,90
Shameless,2011,18+,Hulu,1,Rotten Tomatoes,90
Fullmetal Alchemist: Brotherhood,2009,16+,Hulu,1,Rotten Tomatoes,88
Grey's Anatomy,2005,16+,Hulu,1,Rotten Tomatoes,87
Arrested Development,2003,16+,Hulu,1,Rotten Tomatoes,87
Demon Slayer: Kimetsu no Yaiba,2019,18+,Hulu,1,Rotten Tomatoes,86
American Horror Story,2011,18+,Hulu,1,Rotten Tomatoes,86
Good Girls,2018,16+,Hulu,1,Rotten Tomatoes,84
Death Note,2006,16+,Hulu,1,Rotten Tomatoes,84
How to Get Away with Murder,2014,16+,Hulu,1,Rotten Tomatoes,83
One-Punch Man,2015,7+,Hulu,1,Rotten Tomatoes,83
Hunter x Hunter,2011,16+,Hulu,1,Rotten Tomatoes,82
Kingdom,2019,18+,Hulu,1,Rotten Tomatoes,82
Naruto,2002,7+,Hulu,1,Rotten Tomatoes,81
Manifest,2018,16+,Hulu,1,Rotten Tomatoes,81
Riverdale,2017,16+,Hulu,1,Rotten Tomatoes,81
The Promised Neverland,2019,18+,Hulu,1,Rotten Tomatoes,81
Lost in Space,2018,7+,Hulu,1,Rotten Tomatoes,80
Happy Endings,2011,16+,Hulu,1,Rotten Tomatoes,80
Haikyu!!,2014,16+,Hulu,1,Rotten Tomatoes,77
Alone,2015,16+,Hulu,1,Rotten Tomatoes,77
Star Trek: Enterprise,2001,7+,Hulu,1,Rotten Tomatoes,76
Merlin,2008,7+,Hulu,1,Rotten Tomatoes,75
Soul Eater,2008,16+,Hulu,1,Rotten Tomatoes,74
ERASED,2016,16+,Hulu,1,Rotten Tomatoes,74
Bleach,2004,18+,Hulu,1,Rotten Tomatoes,73
Safe,2018,18+,Hulu,1,Rotten Tomatoes,73
JoJo's Bizarre Adventure,2012,18+,Hulu,1,Rotten Tomatoes,72
Your Lie in April,2014,7+,Hulu,1,Rotten Tomatoes,72
Survivor,2000,7+,Hulu,1,Rotten Tomatoes,72
Parasyte -the maxim-,2014,18+,Hulu,1,Rotten Tomatoes,72
Chicago Med,2015,16+,Hulu,1,Rotten Tomatoes,71
Sword Art Online,2012,18+,Hulu,1,Rotten Tomatoes,71
Food Wars! Shokugeki no Soma,2015,18+,Hulu,1,Rotten Tomatoes,71
InuYasha,2000,16+,Hulu,1,Rotten Tomatoes,69
Rake,2010,16+,Hulu,1,Rotten Tomatoes,69
The Gift,2019,18+,Hulu,1,Rotten Tomatoes,69
Private Practice,2007,16+,Hulu,1,Rotten Tomatoes,69
My Little Pony: Friendship Is Magic,2010,7+,Hulu,1,Rotten Tomatoes,68
Leah Remini: Scientology and the Aftermath,2016,16+,Hulu,1,Rotten Tomatoes,68
Akame ga Kill!,2014,18+,Hulu,1,Rotten Tomatoes,68
Ancient Aliens,2010,7+,Hulu,1,Rotten Tomatoes,67
The Unicorn,2019,7+,Hulu,1,Rotten Tomatoes,67
We Bare Bears,2015,7+,Hulu,1,Rotten Tomatoes,67
Dear White People,2017,18+,Hulu,1,Rotten Tomatoes,66
Ouran High School Host Club,2006,16+,Hulu,1,Rotten Tomatoes,66
Black Butler,2008,18+,Hulu,1,Rotten Tomatoes,65
Forged in Fire,2015,7+,Hulu,1,Rotten Tomatoes,65
Puella Magi Madoka Magica,2011,16+,Hulu,1,Rotten Tomatoes,65
Senora Acero,2014,16+,Hulu,1,Rotten Tomatoes,65
Pawn Stars,2009,7+,Hulu,1,Rotten Tomatoes,65
Maid Sama!,2010,16+,Hulu,1,Rotten Tomatoes,64
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,Hulu,1,Rotten Tomatoes,64
H2O: Just Add Water,2006,all,Hulu,1,Rotten Tomatoes,64
The Curse of Oak Island,2014,7+,Hulu,1,Rotten Tomatoes,64
Vampire Knight,2008,16+,Hulu,1,Rotten Tomatoes,63
Clannad,2007,7+,Hulu,1,Rotten Tomatoes,63
Fate/stay night [Unlimited Blade Works],2014,18+,Hulu,1,Rotten Tomatoes,63
Boys Over Flowers,2009,16+,Hulu,1,Rotten Tomatoes,63
Big Time Rush,2009,all,Hulu,1,Rotten Tomatoes,63
60 Days In,2016,16+,Hulu,1,Rotten Tomatoes,62
Sailor Moon Crystal,2014,16+,Hulu,1,Rotten Tomatoes,62
Durarara!!,2010,16+,Hulu,1,Rotten Tomatoes,62
Blue Exorcist,2011,16+,Hulu,1,Rotten Tomatoes,62
Are You The One?,2014,16+,Hulu,1,Rotten Tomatoes,61
America's Next Top Model,2003,7+,Hulu,1,Rotten Tomatoes,61
Billy on the Street,2011,16+,Hulu,1,Rotten Tomatoes,60
Magi,2012,16+,Hulu,1,Rotten Tomatoes,60
The Bachelorette,2003,16+,Hulu,1,Rotten Tomatoes,60
Hoarders,2009,7+,Hulu,1,Rotten Tomatoes,59
The Game,2006,16+,Hulu,1,Rotten Tomatoes,59
Playing with Fire,2019,18+,Hulu,1,Rotten Tomatoes,59
MEGALOBOX,2018,16+,Hulu,1,Rotten Tomatoes,59
K-ON!,2009,16+,Hulu,1,Rotten Tomatoes,59
Sonic X,2003,16+,Hulu,1,Rotten Tomatoes,57
America's Book of Secrets,2012,7+,Hulu,1,Rotten Tomatoes,57
Summertime,2020,18+,Hulu,1,Rotten Tomatoes,57
Champions,2018,16+,Hulu,1,Rotten Tomatoes,57
Marlon,2017,7+,Hulu,1,Rotten Tomatoes,55
Ultraviolet,2017,18+,Hulu,1,Rotten Tomatoes,55
Sword Art Online Alternative: Gun Gale Online,2018,16+,Hulu,1,Rotten Tomatoes,52
TIGER & BUNNY,2011,16+,Hulu,1,Rotten Tomatoes,52
Zac & Mia,2017,16+,Hulu,1,Rotten Tomatoes,52
Girls und Panzer,2012,16+,Hulu,1,Rotten Tomatoes,52
Rabbids Invasion,2013,7+,Hulu,1,Rotten Tomatoes,50
The Chase,2013,all,Hulu,1,Rotten Tomatoes,50
Black Ink Crew New York,2013,16+,Hulu,1,Rotten Tomatoes,49
Unstoppable,2020,18+,Hulu,1,Rotten Tomatoes,49
Molang,2015,all,Hulu,1,Rotten Tomatoes,49
Pocoyo,2005,all,Hulu,1,Rotten Tomatoes,48
Fated to Love You,2008,7+,Hulu,1,Rotten Tomatoes,48
Inside the Criminal Mind,2018,18+,Hulu,1,Rotten Tomatoes,45
Pororo the Little Penguin,2003,all,Hulu,1,Rotten Tomatoes,40
Morphle,2019,all,Hulu,1,Rotten Tomatoes,34
Rick and Morty,2013,18+,Hulu,1,Rotten Tomatoes,100
Vikings,2013,18+,Hulu,1,Rotten Tomatoes,92
Fargo,2014,18+,Hulu,1,Rotten Tomatoes,92
Brooklyn Nine-Nine,2013,16+,Hulu,1,Rotten Tomatoes,92
Lost,2004,16+,Hulu,1,Rotten Tomatoes,91
Parks and Recreation,2009,16+,Hulu,1,Rotten Tomatoes,91
It's Always Sunny in Philadelphia,2005,18+,Hulu,1,Rotten Tomatoes,90
Firefly,2002,16+,Hulu,1,Rotten Tomatoes,90
My Hero Academia,2016,16+,Hulu,1,Rotten Tomatoes,90
How I Met Your Mother,2005,16+,Hulu,1,Rotten Tomatoes,90
Modern Family,2009,7+,Hulu,1,Rotten Tomatoes,90
The Handmaid's Tale,2017,18+,Hulu,1,Rotten Tomatoes,90
